session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First language,First Language,Nationality,Sex,Student Status
5f91737c93f074069fc1bda8,5f90b5d4ca25421c26475e54,APPROVED,2020-10-22 11:56:47.441000,2020-10-22 12:00:40.375000,232.934,22,1,0,100,2020-10-29 17:53:59.241000,NOCODE,United Kingdom,,Unemployed (and job seeking),English,,United Kingdom,Male,Yes
5f9173c55d1edd05ac239fab,5aec6539d9171d00015b79ea,APPROVED,2020-10-22 11:57:59.594000,2020-10-22 12:01:15.819000,196.225,44,101,0,100,2020-10-29 17:49:37.212000,NOCODE,United Kingdom,United Kingdom,Unemployed (and job seeking),,English,United Kingdom,Female,No
5f9173fff4af0a06f5130147,5e677bbfdc6af10170344873,APPROVED,2020-10-22 11:58:55.199000,2020-10-22 12:06:23.617000,448.418,21,165,0,100,2020-10-29 17:51:54.575000,NOCODE,United Kingdom,United Kingdom,Other,English,English,United Kingdom,Male,Yes
5f917409d34edb06ae0d5fb5,5f7c830394b2e90ad26d55e4,APPROVED,2020-10-22 11:59:12.317000,2020-10-22 12:29:37.624000,1825.307,22,1,0,100,2020-10-29 17:53:47.330000,NOCODE,Bulgaria,South Africa,Other,English,DATA EXPIRED,Zimbabwe,Female,Yes
5f917427aae7f50652aba4f9,5e4442e9401a0e000bbf2b04,APPROVED,2020-10-22 11:59:38.842000,2020-10-22 12:04:23.934000,285.092,37,151,1,100,2020-10-29 17:51:47.422000,5E5B3080,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Female,No
5f917495d45ce0060779d16c,5b9f891552b01e00010c0213,APPROVED,2020-10-22 12:01:29.647000,2020-10-22 12:09:43.146000,493.499,42,430,2,100,2020-10-29 17:49:44.165000,5E5B3080,United Kingdom,United Kingdom,Other,English,English,United Kingdom,Male,No
5f91749a50ba8806c782b9e4,5eb9d60bcd9c0e0fec1757d5,APPROVED,2020-10-22 12:01:35.461000,2020-10-22 12:06:21.316000,285.855,49,212,2,100,2020-10-29 17:52:12.417000,NOCODE,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,English,United Kingdom,Female,No
5f9174ac7454b3071107bfba,5aa1868a6219a30001f56dbe,APPROVED,2020-10-22 12:01:48.156000,2020-10-22 12:08:55.153000,426.997,25,208,0,100,2020-10-29 17:49:19.394000,NOCODE,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Female,No
5f9174af501120069e465287,5ecab4cdb9ee89615d32a46f,APPROVED,2020-10-22 12:01:51.041000,2020-10-22 12:04:25.439000,154.398,19,63,1,100,2020-10-29 17:52:33.132000,NOCODE,United Kingdom,United Kingdom,Unemployed (and job seeking),,English,United Kingdom,Male,Yes
5f9174baa0599a06b98265f2,59f06a9577860e000151379e,RETURNED,2020-10-22 12:02:07.712000,,16162463.545117,34,171,4,96,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5f9174ccf1654507228a049c,5cf925cae1d3f90001e9ea2c,RETURNED,2020-10-22 12:02:20.198000,,16162451.059224,64,394,2,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5f9174d2d11c0907590231e1,5f910744e1d123222d97d1c9,APPROVED,2020-10-22 12:02:31.182000,2020-10-29 17:54:19.773000,625908.591,34,99,1,100,2020-10-29 17:54:22.091000,Manual Completion,United States,United States,Full-Time,English,DATA EXPIRED,United States,Male,Yes
5f9174dd6ca64207549543d2,5eeb8a086580b8325095e4c2,APPROVED,2020-10-22 12:02:42.261000,2020-10-22 12:06:23.860000,221.599,20,158,0,100,2020-10-29 17:52:46.238000,NOCODE,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,English,United Kingdom,Female,Yes
5f9174e24bf5cc06af1f9b2e,5eba357c3d72c116be317542,APPROVED,2020-10-22 12:02:42.444000,2020-10-22 12:17:59.753000,917.309,37,549,1,100,2020-10-29 17:52:20.519000,NOCODE,United States,United States,Part-Time,English,English,United States,Male,No
5f9174ea1246fa06eeeddd68,5d1a3d6cdca34a0001fb8917,APPROVED,2020-10-22 12:02:50.788000,2020-10-22 12:11:58.760000,547.972,36,123,0,100,2020-10-29 17:51:05.935000,NOCODE,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,English,United Kingdom,Female,No
5f917505db19b106bedb6900,5bd6395029363700019b184b,APPROVED,2020-10-22 12:03:23.025000,2020-10-22 12:07:48.486000,265.461,22,95,3,98,2020-10-29 17:50:00.773000,NOCODE,United Kingdom,United Kingdom,Unemployed (and job seeking),,English,United Kingdom,Female,Yes
5f917510bd862c06a4f29f04,5ad92773a77e0e0001c440eb,REJECTED,2020-10-22 12:03:30.282000,2020-10-22 12:15:14.075000,703.793,37,255,4,98,2020-10-30 09:55:06.160000,NOCODE,United Kingdom,United Kingdom,Part-Time,English,English,United Kingdom,Female,No
5f917529c4534c0680eae37e,5745ef705bef98000fadc462,APPROVED,2020-10-22 12:04:03.074000,2020-10-22 12:14:41.066000,637.992,66,729,5,99,2020-10-29 17:49:05.238000,5E5B3080,United Kingdom,United Kingdom,Other,English,English,United Kingdom,Female,No
5f91755b4461e205b6120d9f,5ce475232210eb00018706b3,RETURNED,2020-10-22 12:04:46.444000,,16162304.901248,43,327,4,98,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
