session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,First language,Nationality,Sex,Student Status
5f63c5498957791246825576,5f5aa02b58c9fb18ba811fd9,APPROVED,2020-09-17 20:21:41.941000,2020-09-17 20:32:32.506000,650.565,45,30,0,100,2020-09-30 13:40:10.179000,5E5B3080,United States,,Full-Time,,English,United States,Male,No
5f63c58cbc130d10b108f7a1,5dac1091063b1e001701319f,APPROVED,2020-09-17 20:22:43.158000,2020-09-17 20:28:45.665000,362.507,19,9,0,100,2020-09-30 13:40:11.376000,NOCODE,United Arab Emirates,Canada,Other,English,English,Canada,Male,Yes
5f63c5b9192b5411f192f0b7,5efee4111a9acf3f954d8436,RETURNED,2020-09-17 20:23:21.922000,,1167282.813302,22,46,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5f63c5c3da31cd11eac3949b,5e697944490eba2319fbfa0d,APPROVED,2020-09-17 20:23:31.109000,2020-09-17 20:27:23.817000,232.708,24,115,0,100,2020-09-30 13:40:25.425000,NOCODE,Korea,Canada,Full-Time,English,English,Canada,Male,No
5f63c5d1b9456b11529016ae,5e682759984ee80128a78dca,APPROVED,2020-09-17 20:23:48.112000,2020-09-17 20:32:03.958000,495.846,19,182,0,100,2020-09-30 13:40:50.693000,5E5B3080,United Kingdom,United Kingdom,Part-Time,English,English,United Kingdom,Male,No
5f63c636fcaaa1117c22e795,5e4eb6962032272fb9e387fb,APPROVED,2020-09-17 20:25:28.616000,2020-09-17 20:29:21.445000,232.829,52,102,0,100,2020-09-30 13:40:52.459000,5E5B3080,United Kingdom,United Kingdom,Full-Time,English,,United Kingdom,Male,No
5f63c63785863d10f4fd2699,5f0c8d92c34c6061989be2b1,APPROVED,2020-09-17 20:25:27.681000,2020-09-17 20:29:35.999000,248.318,32,48,0,100,2020-09-30 13:40:53.561000,NOCODE,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,English,United Kingdom,Male,Yes
5f63c6380048c211a16564e1,5f46474e90a7c90008b22726,APPROVED,2020-09-17 20:25:32.144000,2020-09-30 13:40:54.435000,1098922.291,18,4,0,100,2020-09-30 13:40:57.143000,Manual Completion,Poland,Poland,Due to start a new job within the next month,,English,Poland,Male,Yes
5f63c63f4387071112b04bfc,5c4a28e0b8f0e3000192feda,APPROVED,2020-09-17 20:25:37.733000,2020-09-17 20:29:57.316000,259.583,27,144,0,100,2020-09-30 13:40:54.862000,NOCODE,Canada,Canada,Full-Time,English,,Canada,Female,No
5f63c64ab6a06811c299937a,5f47af90a023e11b84f71f2e,APPROVED,2020-09-17 20:26:08.188000,2020-09-17 20:29:44.758000,216.57,18,17,0,100,2020-09-30 13:40:55.699000,NOCODE,Netherlands,United Kingdom,Other,,English,United Kingdom,Female,Yes
5f63c655227b441246a43e17,5ce5e3156ad4e5001e097513,TIMED-OUT,2020-09-17 20:26:07.180000,,1167119.329032,21,77,1,100,,,United Kingdom,United Kingdom,Due to start a new job within the next month,English,,United Kingdom,Male,Yes
5f63c65afce457123a566221,5d62f4e11d7a3e0001d6b124,TIMED-OUT,2020-09-17 20:26:05.359000,,1167121.18113,20,55,0,100,,,United States,United States,Other,English,English,United States,Female,Yes
5f63c66f05bc7411e5efa968,5e3dd8f47f891e000ba33aca,TIMED-OUT,2020-09-17 20:26:39.470000,,1167087.10491,49,52,3,90,,,South Africa,New Zealand,Full-Time,English,English,South Africa,Male,No
5f63d1da08a00813d4b22fea,5f588c472f53113f8d334cba,APPROVED,2020-09-17 21:15:08.367000,2020-09-17 21:19:18.241000,249.874,28,17,0,100,2020-09-30 13:41:07.953000,NOCODE,United Kingdom,United Kingdom,Other,,English,United Kingdom,Female,Yes
5f63d1e273f61213447dbf34,5d33589df665c6001ab9a801,APPROVED,2020-09-17 21:17:06.150000,2020-09-30 13:51:26.146000,1096459.996,25,165,1,100,2020-09-30 13:51:27.994000,Manual Completion,United Kingdom,United Kingdom,Full-Time,English,,United Kingdom,Female,No
5f63d1e48cb0b613d9c777c8,5e234e6d06121f5eceaba7f1,RETURNED,2020-09-17 21:15:20.122000,,1164167.174899,53,179,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5f63d1e52fadf013aa352c4f,5e331aa16ec1ac2ee0ff37aa,APPROVED,2020-09-17 21:15:17.940000,2020-09-17 21:32:58.942000,1061.002,21,117,1,100,2020-09-30 13:41:09.561000,5E5B3080,Ireland,Ireland,Unemployed (and job seeking),English,English,Ireland,Male,Yes
5f63d4b6b8ea8b1496fb5e0b,5f3164c10c431b65ceee7808,APPROVED,2020-09-17 21:27:18.612000,2020-09-17 21:33:29.182000,370.57,20,33,1,99,2020-09-30 13:41:10.635000,5E5B3080,Canada,Canada,Part-Time,DATA EXPIRED,English,Canada,Male,Yes
5f63d56c56cd1c1365d7f46f,5ebd841ddea21b08a0aa3057,APPROVED,2020-09-17 21:30:42.447000,2020-09-17 21:42:37.811000,715.364,20,116,0,100,2020-09-30 13:41:12.459000,5E5B3080,Canada,Canada,Part-Time,English,,Canada,Female,No
