session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First language,First Language,Nationality,Sex,Student Status
5f80bc737548d31355c3952a,5f46bca0979ac307d9b278f8,RETURNED,2020-10-09 19:39:37.789000,,395248.404405,28,11,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5f80bc8189468a138e33678b,5dc9a90edbe8c86c44981f07,AWAITING REVIEW,2020-10-09 19:39:45.111000,2020-10-09 19:44:24.120000,279.009,19,48,1,100,,NOCODE,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",,English,United Kingdom,Male,Yes
5f80bcbca09a3612f1170163,5eea9502fd8990160be45c52,AWAITING REVIEW,2020-10-09 19:40:46.486000,2020-10-09 19:45:47.294000,300.808,24,57,0,100,,5E5B3080,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Female,No
5f80bd460419a31324fd3a69,5e5109bfd6057413330c4f7b,AWAITING REVIEW,2020-10-09 19:43:08.080000,2020-10-09 19:48:08.425000,300.345,35,55,1,99,,NOCODE,New Zealand,New Zealand,Part-Time,,English,New Zealand,Female,No
5f80bd4d02daee1378684b04,5eac25f0cced6122f7522ac1,AWAITING REVIEW,2020-10-09 19:43:12.075000,2020-10-09 19:48:37.186000,325.111,25,49,0,100,,5E5B3080,Kenya,United Kingdom,Full-Time,English,English,United Kingdom,Female,No
5f80bd5c5116d7137d13b96f,5f1d630b8358ad00080a5206,AWAITING REVIEW,2020-10-09 19:43:26.642000,2020-10-09 19:50:23.151000,416.509,30,49,5,88,,5E5B3080,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Male,No
5f80bd6faf4c5713a61c51c8,5e374efcde60e36df4efe6b9,AWAITING REVIEW,2020-10-09 19:46:07.986000,2020-10-09 19:49:35.678000,207.692,33,41,1,100,,NOCODE,Canada,Canada,Full-Time,,English,Canada,Female,No
5f80bd89ddce1d142f0044e9,5acbd67df69e940001d9cdda,AWAITING REVIEW,2020-10-09 19:44:09.341000,2020-10-09 19:50:51.504000,402.163,39,526,3,100,,5E5B3080,United Kingdom,United Kingdom,Full-Time,,English,United Kingdom,Female,No
5f80bd8fefa2c013b286a967,5d5ef0f7befec1001944e1f0,AWAITING REVIEW,2020-10-09 19:46:13.730000,2020-10-09 19:48:50.453000,156.723,19,142,4,98,,NOCODE,United Kingdom,United Kingdom,Unemployed (and job seeking),,English,Bangladesh,Male,Yes
5f80bd93ff525814319f3290,5ebafd90702ef30af2829980,AWAITING REVIEW,2020-10-09 19:44:22.977000,2020-10-09 19:48:33.604000,250.627,35,64,2,99,,NOCODE,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Male,No
5f80bdace582bf1429b77b69,5ee348695e8d840009e3aac4,AWAITING REVIEW,2020-10-09 19:44:44.423000,2020-10-09 19:58:39.889000,835.466,18,50,3,96,,NOCODE,Ireland,Ireland,Unemployed (and job seeking),,English,Ireland,Male,No
